year,month,total_sales
2014,1,14236.90
2014,2,4519.92
2014,3,55691.04
2014,4,28295.35
2014,5,23648.28
2014,6,34595.14
2014,7,33946.37
2014,8,27909.47
2014,9,81777.34
2014,10,31453.37
2014,11,78628.74
2014,12,69545.64
2015,1,18174.08
2015,2,11951.40
2015,3,38726.26
2015,4,34195.25
2015,5,30131.72
2015,6,24797.31
2015,7,28765.32
2015,8,36898.32
2015,9,64595.87
2015,10,31404.90
2015,11,75972.51
2015,12,74919.52
2016,1,18542.52
2016,2,22978.82
2016,3,51715.86
2016,4,38750.04
2016,5,56987.75
2016,6,40344.54
2016,7,39261.99
2016,8,31115.35
2016,9,73410.09
2016,10,59687.80
2016,11,79412.03
2016,12,96999.07
2017,1,43971.37
2017,2,20301.12
2017,3,58872.35
2017,4,36521.52
2017,5,44261.08
2017,6,52981.73
2017,7,45264.43
2017,8,63120.85
2017,9,87866.66
2017,10,77776.96
2017,11,118447.81
2017,12,83829.31
